Wifi Hotspot Name,Address,Suburb,Latitude,Longitude,Site
Annerley Library Wifi,450 Ipswich Road,Annerley,-27.50942285,153.0333218,Library
Ashgrove Library Wifi,87 Amarina Avenue,Ashgrove,-27.44394629,152.9870981,Library
Banyo Library Wifi,284 St. Vincents Road,Banyo,-27.37396641,153.0783234,Library
Bracken Ridge Library Wifi,Corner Bracken and Barrett Street,Bracken Ridge,-27.31797261,153.0378735,Library
Brisbane Square Library Wifi,"Brisbane Square, 266 George Street",Brisbane City,-27.47091173,153.0224598,Library
Bulimba Library Wifi,Corner Riding Road & Oxford Street,Balmoral,-27.45203086,153.0628242,Library
Carina Library Wifi,Corner Mayfield Road & Nyrang Street,Carina,-27.49169314,153.0912127,Library
Carindale Library Wifi,"Westfield Carindale Shopping Centre, Millennium Blvd",Carindale,-27.501238,153.102374,Library
Chermside Library Wifi,375 Hamilton  Road,Chermside,-27.3856032,153.0349028,Library
City Archives,15/107-123 Muriel Avenue,Moorooka,-27.543895,153.020201,Library
Coopers Plains Library Wifi,107 Orange Grove Road,Coopers Plains,-27.56510509,153.0403183,Library
Corinda Library Wifi,641 Oxley Road,Corinda,-27.53880237,152.9809091,Library
Everton Park Library Wifi,561 South Pine Road,Everton Park,-27.4053336,152.9904205,Library
Fairfield Library Wifi,"Fairfield Gardens Shopping Centre, 180 Fairfield Road",Fairfield,-27.50909038,153.0259709,Library
Garden City Library Wifi,"Garden City Shopping Centre, Corner Logan and Kessels Road",Upper Mount Gravatt,-27.56244221,153.0809183,Library
Grange Library Wifi,79 Evelyn Street,Grange,-27.42531193,153.0174728,Library
Hamilton Library Wifi,Corner Racecourt Road and Rossiter Parade,Hamilton,-27.43790137,153.0642227,Library
Holland Park Library Wifi,81 Seville Road,Holland Park,-27.52292286,153.0722921,Library
Inala Library Wifi,"Inala Shopping centre, Corsair Ave",Inala,-27.59828574,152.9735217,Library
Indooroopilly Library Wifi,"Indrooroopilly Shopping centre, Level 4, 322 Moggill Road",Indooroopilly,-27.49764287,152.9736471,Library
Kenmore Library Wifi,"Kenmore Village Shopping Centre, Brookfield Road",Kenmore,-27.50592852,152.9386437,Library
Mitchelton Library Wifi,37 Helipolis Parada,Mitchelton,-27.41704165,152.9783402,Library
Mt Coot-tha Botanic Gardens Library Wifi,"Administration Building, Brisbane Botanic Gardens (Mt Coot-tha), Mt Coot-tha Road",Mount Coot-tha,-27.47529908,152.9760412,Library
Mt Gravatt Library Wifi,8 Creek Road,Mount Gravatt East,-27.53855482,153.0802628,Library
Mt Ommaney Library Wifi,"Mt Ommaney Shopping Centre, 171 Dandenong Road",Mount Ommaney,-27.54824198,152.9378099,Library
New Farm Library Wifi,135 Sydney Street,New Farm,-27.46736574,153.0495841,Library
Nundah Library Wifi,1 Bage Street,Nundah,-27.40125908,153.0583751,Library
QLD_07321001X2,127 Queen St,Brisbane City,-27.46967,153.02515,CBD
QLD_07321010X2,141 Queen St,Brisbane City,-27.46924,153.02579,CBD
QLD_07321014X2,155 Queen St,Brisbane City,-27.46882,153.02657,CBD
QLD_07321017X2,221 ALBERT ST,Brisbane City,-27.469504,153.025176,CBD
QLD_07321116X2,33 Queen St,Brisbane City,-27.47067,153.02387,CBD
QLD_07321117X2,33 Queen St,Brisbane City,-27.47048,153.02392,CBD
QLD_07322112X2,109 Elizabeth St,Brisbane City,-27.470596,153.025824,CBD
QLD_07322116X2,136 Elizabeth St,Brisbane City,-27.470011,153.026413,CBD
QLD_07322117X2,232 Albert St,Brisbane City,-27.469209,153.024791,CBD
QLD_07322119X2,10 Eagle St,Brisbane City,-27.469399,153.030166,CBD
QLD_07322121X2,128 Edward St,Brisbane City,-27.469984,153.028516,CBD
QLD_07322131X2,10 Charlotte St,Brisbane City,-27.47234,153.02498,CBD
QLD_07322136X2,180 Mary St,Brisbane City,-27.470447,153.029261,CBD
QLD_07322138X2,165 Adelaide St,Brisbane City,-27.467763,153.02595,CBD
QLD_07322144X2,179 Ann St,Brisbane City,-27.467221,153.024958,CBD
QLD_07322146X2,280 ADELAIDE ST,Brisbane City,-27.465714,153.028389,CBD
QLD_07322147X2,232 Adelaide St,Brisbane City,-27.46656,153.027263,CBD
QLD_07322148X2,345 Queen St,Brisbane City,-27.46673,153.02909,CBD
QLD_07322150X2,35 Creek St,Brisbane City,-27.467561,153.029193,CBD
QLD_07322165X2,70 Adelaide St,Brisbane City,-27.469385,153.023778,CBD
QLD_07322915X2,15 Adelaide St,Brisbane City,-27.469975,153.023175,CBD
QLD_07322918X2,88 Adelaide St,Brisbane City,-27.46906,153.024087,CBD
QLD_07322920X2,135 Margaret St,Brisbane City,-27.47281561,153.0281487,CBD
QLD_07322921X2,270 ANN ST,Brisbane City,-27.466536,153.02562,CBD
QLD_07322922X2,3 Edward St,Brisbane City,-27.47202,153.0305,Southbank Area
QLD_07322926X2,201 Elizabeth St,Brisbane City,-27.469229,153.027579,CBD
QLD_07322927X2,123 Albert St,Brisbane City,-27.47078,153.02641,CBD
QLD_07322929X2,54 Adelaide St,Brisbane City,-27.469538,153.023588,CBD
QLD_07322948X2,72 QUEEN ST,Brisbane City,-27.4701,153.0239,CBD
QLD_07322952X2,91 Queen St,Brisbane City,-27.4702,153.02444,CBD
QLD_07323600X2,30 HERSCHEL ST NR NORTH QUAY,Brisbane City,-27.467956,153.018788,CBD
QLD_07323602X2,58 Roma St,Brisbane City,-27.46768,153.02212,CBD
QLD_07323604X2,20 Makerston St,Brisbane City,-27.466833,153.018736,Paddington
QLD_07323611X2,96 Albert St,Brisbane City,-27.471699,153.027213,CBD
QLD_07323617X2,35 Turbot St,Brisbane City,-27.46888,153.021202,CBD
QLD_07323619X2,304 George St,Brisbane City,-27.469877,153.022385,CBD
QLD_07325251X2,9 Duncan St,Fortitude Valley,-27.458311,153.033223,Brunswick St & Chinatown
QLD_07325284X2,275 Brunswick St,Fortitude Valley,-27.45774,153.03407,Brunswick St & Chinatown
QLD_07325711X2,256 Wickham St,Fortitude Valley,-27.45688,153.03409,Brunswick St & Chinatown
QLD_07325713X2,230 Brunswick St,Fortitude Valley,-27.456809,153.032926,Brunswick St & Chinatown
QLD_07326909X2,"3 Third Ave, near Brighton Rd",Sandgate,-27.319618,153.069435,SAN
QLD_07326912X2,119 Brighton Rd,Sandgate,-27.317763,153.067793,SAN
QLD_07326925X2,3 Knox St,Sandgate,-27.32196,153.069299,SAN
QLD_07335802X2,51 Chester St,Fortitude Valley,-27.455837,153.042673,James Street Precinct
QLD_07335809X2,1020 BRUNSWICK ST,New Farm,-27.471089,153.051264,New Farm
QLD_07335815X2,65 James St,Fortitude Valley,-27.45758223,153.0408661,James Street Precinct
QLD_07336704X2,163 Given Tce,Paddington,-27.46228,153.00868,Paddington
QLD_07336800X2,18 Caxton St,Petrie Terrace,-27.464555,153.012713,CBD
QLD_07336926X2,202 Given Tce,Paddington,-27.4618,153.00605,Paddington
QLD_07339716X2,58 Old Cleveland Rd,Greenslopes,-27.498589,153.045962,STO
QLD_07339719X2,303 Logan Rd,Greenslopes,-27.498591,153.0441,STO
QLD_07339721X2,416 Logan Rd,Greenslopes,-27.50078,153.04598,STO
QLD_07339738X2,50 Cleveland St,Greenslopes,-27.500519,153.044625,STO
QLD_07383100X1,344 WICKHAM TCE,Spring Hill,-27.464264,153.019492,ROM
QLD_07383100X2,193 Wickham Tce,Spring Hill,-27.465428,153.02407,CBD
QLD_07383102X2,24 Berry St,Spring Hill,-27.464947,153.023778,CBD
QLD_07383108X2,73 Wickham Tce,Spring Hill,-27.464606,153.026722,CBD
QLD_07383109X2,369 Ann St,Brisbane City,-27.464118,153.029049,CBD
QLD_07383201X2,74 Little Edward St,Spring Hill,-27.461039,153.024367,CBD
QLD_07383202X2,67 Astor Tce,Spring Hill,-27.463507,153.026053,CBD
QLD_07383203X2,1 Astor Tce,Spring Hill,-27.46387,153.024851,CBD
QLD_07383901X2,465 Wickham Tce,Spring Hill,-27.46179,153.02098,CBD
QLD_07383902X2,135 Wickham Tce,Spring Hill,-27.464807,153.025661,CBD
QLD_07383903X2,17 Gregory Tce,Spring Hill,-27.46044,153.01869,CBD
QLD_07383904X2,149 Wickham Tce,Spring Hill,-27.464646,153.025356,CBD
QLD_07384444X2,100 Grey St,South Brisbane,-27.47408,153.018486,Southbank Area
QLD_07384467X2,50 Ernest St,South Brisbane,-27.479379,153.021689,Southbank Area
QLD_07384470X2,121 Merivale St,South Brisbane,-27.481457,153.021087,Southbank Area
QLD_07384608X2,"Grey St, Maritime Museum",,-27.48187,153.02538,Southbank Area
QLD_07384612X1,Grey St,South Brisbane,-27.47868477,153.0227853,Southbank Area
QLD_07384714X2,383 Logan Rd,Greenslopes,-27.499823,153.045197,STO
QLD_07385210X2,20 Duncan St,Fortitude Valley,-27.45895629,153.034177,Brunswick St & Chinatown
QLD_07385212X2,390 Brunswick St,Fortitude Valley,-27.45933,153.03634,Brunswick St & Chinatown
QLD_07385214X2,267 Brunswick St,Fortitude Valley,-27.45741,153.03363,Brunswick St & Chinatown
QLD_07385217X2,316 Brunswick St,Fortitude Valley,-27.45774,153.03407,Brunswick St & Chinatown
QLD_07385402X2,39 James St,Fortitude Valley,-27.45689634,153.0400461,James Street Precinct
QLD_07386902X2,"11 Fourth Ave, Cnr Brighton Rd",Sandgate,-27.318799,153.068623,SAN
QLD_CAX104B,Intersection of Caxton St and Petrie Tce,Petrie Terrace,-27.464852,153.013268,Paddington
QLD_CAX105B,47-55 Caxton St (outside Caxton Thai and 7 Nights Convenience Store),Petrie Terrace,-27.464075,153.012389,Paddington
QLD_CAX106A,Intersection of Caxton St and Hale St,Petrie Terrace,-27.463395,153.011378,Paddington
QLD_CAX107A,140 Caxton St,Milton,-27.46291439,153.0099488,Paddington
QLD_CAX108A,Intersection of Caxton St and Dowse St,Paddington,-27.462316,153.008898,Paddington
QLD_CBD001A,Intersection of Albert St and Alice St,Brisbane City,-27.473612,153.028942,CBD
QLD_CBD004A,Intersection of George St and Alice St,Brisbane City,-27.474748,153.027119,CBD
QLD_CBD005B,Intersection of George St and Adelaide St,Brisbane City,-27.470306,153.02278,CBD
QLD_CBD006A,Intersection of Edward  St and Margaret St,Brisbane City,-27.471365,153.030052,CBD
QLD_CBD009A,Intersection of Felix St and Mary St,Brisbane City,-27.470161,153.029606,CBD
QLD_CBD013A,159 William Street,Brisbane City,-27.472409,153.023582,CBD
QLD_CBD017A,Intersection of Alice and William St,Brisbane City,-27.475144,153.026505,CBD
QLD_CBD018A,Intersection of North Quay and Queen St,Brisbane City,-27.471396,153.022694,CBD
QLD_CBD019A,Intersection of North Quay and Adelaide St,Brisbane City,-27.470901,153.022096,CBD
QLD_CBD020A,Intersection of North Quay and Ann St,Brisbane City,-27.470031,153.021108,CBD
QLD_CBD023C,42 Makerston St,Brisbane City,-27.467405,153.017789,CBD
QLD_CBD027A,Intersection of Roma St and Parkland,Brisbane City,-27.467218,153.020932,CBD
QLD_CBD028B,Intersection of Turbot St and Albert St,Brisbane City,-27.467416,153.023131,CBD
QLD_CBD029B,Intersection of Ann St and Roma St,Brisbane City,-27.468296,153.023412,CBD
QLD_CBD031A,Intersection of Charlotte St and Albert St,Brisbane City,-27.471144,153.026854,CBD
QLD_CBD034A,Intersection of Charlotte and Creek St,Brisbane City,-27.468581,153.02993,CBD
QLD_CBD035A,Intersection of Elizabeth St and Creek St,Brisbane City,-27.467901,153.029341,CBD
QLD_CBD036A,Intersection of Elizabeth St and George St,Brisbane City,-27.471761,153.024443,CBD
QLD_CBD042A,Intersection of Ann and George St,Brisbane City,-27.469468,153.021954,CBD
QLD_CBD045A,Intersection of Adelaide St and Creek St,Brisbane City,-27.466392,153.027805,CBD
QLD_CBD046A,Intersection of Creek St and Queen St,Brisbane City,-27.46691,153.028579,CBD
QLD_CBD047B,Intersection of Wharf St and Queen St,Brisbane City,-27.465686,153.030161,CBD
QLD_CBD049A,443 Queen Street,Brisbane City,-27.46488,153.031327,CBD
QLD_CBD050A,80 Eagle Street,Brisbane City,-27.467057,153.029948,CBD
QLD_CBD051A,Intersection of Adelaide St and Queen St,Brisbane City,-27.463745,153.031258,CBD
QLD_CBD053B,Intersection of Adelaide St and Albert St,Brisbane City,-27.468741,153.024521,CBD
QLD_CBD054A,Intersection of Adelaide St and Wharf St,Brisbane City,-27.464883,153.029411,CBD
QLD_CBD058A,256 Ann Street (Central Station Exit),Brisbane City,-27.466202,153.026353,CBD
QLD_CBD059A,Intersection of Ann St and Creek St,Brisbane City,-27.465544,153.026988,CBD
QLD_CBD063A,Intersection of Turbot St and Edward St,Brisbane City,-27.466043,153.024893,CBD
QLD_CBD065A,Intersection of Turbot St and Wharf St,Brisbane City,-27.463729,153.028235,CBD
QLD_CBD068A,208 Boundary Street,Spring Hill,-27.46176496,153.0299777,CBD
QLD_CBD069A,70 Wickham St,Fortitude Valley,-27.46171055,153.031091,CBD
QLD_CBD072A,211 Adelaide St,Brisbane City,-27.466884,153.027173,CBD
QLD_CBD074B,Intersection of George St and Queen St,Brisbane City,-27.471017,153.023694,CBD
QLD_CBD076A,Intersection of George St and Tank St,Brisbane City,-27.467975,153.02074,CBD
QLD_CBD077A,Intersection of George St and Herchel St,Brisbane City,-27.467302,153.019817,CBD
QLD_CBD143A,City Botanic Gardens,Brisbane City,-27.475228,153.028856,Wifi In Parks
QLD_CBD157A,King George Square,Brisbane City,-27.468269,153.024276,Wifi In Parks
QLD_CBD158A,Post Office Square,Brisbane City,-27.467459,153.027402,Wifi In Parks
QLD_CBD159A,King Edward Park Jacobs Ladder,Brisbane City,-27.465809,153.023932,Wifi In Parks
QLD_CBD161A,Intersection of Albert and Mary St,Brisbane City,-27.471962,153.027597,CBD
QLD_CBD169A,Intersection of Herschel  St and North Quay,Brisbane City,-27.468291,153.018609,CBD
QLD_CBD183A,Intersection of Edward St and Charlotte St,Brisbane City,-27.469878,153.0283,CBD
QLD_CBD184A,Intersection of Ann St and Edward St,Brisbane City,-27.466817,153.025294,CBD
QLD_CBD185A,Intersection of Mary St and George St,Brisbane City,-27.473275,153.025901,CBD
QLD_CBD186A,Intersection of Margaret St and George St,Brisbane City,-27.473993,153.026649,CBD
QLD_CBD224A,71 Eagle St - Riparian Plaza,Brisbane City,-27.468136,153.030957,CBD
QLD_CBD240A,Victoria Bridge - CBD side,Brisbane City,-27.471764,153.022499,Victoria Bridge
